HistoPic-ID	Date	Cassette_ID	Clam-ID	Female Tissue Grade	Female Stage	Male Tissue Grade	Male Stage	Notes
Slide_6_1_40x	4/10/2020	6	6	3	Ripe 	3	Ripe 	
Slide_6_2_40x	4/10/2020	6	6	3	Ripe 	3	Ripe 	
Slide_7_1_40x	4/10/2020	7	7	2	Developing Gametes	2	Developing Gametes	
Slide_7_2_40x	4/10/2020	7	7	2	Developing Gametes	2	Developing Gametes	
Slide_8_1_40x	4/10/2020	8	8	3	Ripe 	3	Ripe 	
Slide_8_2_40x	4/10/2020	8	8	3	Ripe 	3	Ripe 	
Slide_10_40x	4/10/2020	10	10	3	Ripe 	3	Ripe 	
Slide_11_40x	4/10/2020	11	11	2	Developing Gametes	2	Developing Gametes	
Slide_12_1_40x	4/10/2020	12	12	3	Ripe 	3	Ripe 	
Slide_12_2_40x	4/10/2020	12	12	3	Ripe 	3	Ripe 	
Slide_13_1_40x	4/10/2020	13	13	3	Ripe 	3	Ripe 	
Slide_13_2_40x	4/10/2020	13	13	3	Ripe 	3	Ripe 	
Slide_14_1_40x	4/10/2020	14	14	2	Developing Gametes	2	Developing Gametes	
Slide_14_2_40x_a	4/10/2020	14	14	2	Developing Gametes	3	Ripe 	
Slide_14_2_40x_b	4/10/2020	14	14	2	Developing Gametes	3	Ripe 	
Slide_42_1_40x	5/11/2020	42	42	3	Ripe 	2	Developing Gametes	
Slide_42_2_40x	5/11/2020	42	42	2	Developing Gametes	2	Developing Gametes	
Slide_43_1_40x	5/11/2020	43	43	2	Developing Gametes	2	Developing Gametes	
Slide_43_2_40x	5/11/2020	43	43	3	Ripe 	3	Ripe 	
Slide_44_1_40x	5/11/2020	44	44	2	Developing Gametes	3	Ripe 	
Slide_44_2_40x	5/11/2020	44	44	3	Ripe 	3	Ripe 	
Slide_45_1_40x	5/11/2020	45	45	3	Ripe 	3	Ripe 	
Slide_45_2_40x	5/11/2020	45	45	3	Ripe 	3	Ripe 	
Slide_46_1_40x	5/11/2020	46	46	2	Developing Gametes	2	Developing Gametes	
Slide_46_2_40x	5/11/2020	46	46	2	Developing Gametes	2	Developing Gametes	
Slide_47_1_40x	5/11/2020	47	47	2	Developing Gametes	2	Developing Gametes	
Slide_47_2_40x	5/11/2020	47	47	2	Developing Gametes	3	Ripe 	
Slide_48_1_40x	5/11/2020	48	48	2	Developing Gametes	3	Ripe 	
Slide_48_2_40x	5/11/2020	48	48	2	Developing Gametes	2	Developing Gametes	
Slide_49_1_40x	5/11/2020	49	49	2	Developing Gametes	2	Developing Gametes	
Slide_49_2_40x	5/11/2020	49	49	2	Developing Gametes	3	Ripe 	
Slide_60_1_40x	7/6/2020	60	60	1	Undeveloped	1	Undeveloped	
Slide_60_2_40x	7/6/2020	60	60	1	Undeveloped	1	Undeveloped	
Slide_60_3_4x	7/6/2020	60	63	2	Developing Gametes	1	Undeveloped	
Slide_60_4_40x	7/6/2020	60	62	2	Developing Gametes	3	Ripe 	
Slide_60_5_40x	7/6/2020	60	61	1	Undeveloped	1	Undeveloped	
Slide_64_1_40x	7/6/2020	64	64	3	Ripe 	3	Ripe 	
Slide_64_2_40x	7/6/2020	64	65	3	Ripe 	3	Ripe 	
Slide_64_3_40x	7/6/2020	64	67	3	Ripe 	3	Ripe 	
Slide_64_4_40x	7/6/2020	64	66	3	Ripe 	3	Ripe 	
Slide_68_1_40x	7/6/2020	68	68	3	Ripe 	3	Ripe 	
Slide_68_2_40x	7/6/2020	68	69	1	Undeveloped	1	Undeveloped	
Slide_68_3_40x	7/6/2020	68	71	2	Developing Gametes	1	Undeveloped	
Slide_68_4_40x	7/6/2020	68	70	1	Undeveloped	1	Undeveloped	
Slide_72_1_40x	7/6/2020	72	72	1	Developing Gametes	3	Ripe 	
Slide_72_2_40x	7/6/2020	72	73	2	Developing Gametes	2	Developing Gametes	
Slide_72_3_40x	7/6/2020	72	75	3	Ripe 	3	Ripe 	
Slide_72_4_40x	7/6/2020	72	74	NA		NA		need to redo pic - same as 72-2
Slide_76_1_40x	7/6/2020	76	76	2	Developing Gametes	2	Developing Gametes	
Slide_76_2_40x	7/6/2020	76	77	2	Developing Gametes	2	Developing Gametes	
Slide_76_3_40x	7/6/2020	76	79	2	Developing Gametes	3	Ripe 	
Slide_76_4_40x_a	7/6/2020	76	78	2	Developing Gametes	3	Ripe 	
Slide_76_4_40x_b	7/6/2020	76	78	2	Developing Gametes	3	Ripe 	
Slide_82_40x	7/8/2020	82	82	2	Developing Gametes	2	Developing Gametes	
Slide_83_40x	7/8/2020	83	83	NA		2	Developing Gametes	
Slide_84_40x	7/8/2020	84	84	2	Developing Gametes	2	Developing Gametes	
Slide_85_40x	7/8/2020	85	85	3	Ripe 	3	Ripe 	
Slide_86_1_40x	7/8/2020	86	86	2	Developing Gametes	2	Developing Gametes	
Slide_86_2_40x	7/8/2020	86	86	3	Ripe 	3	Ripe 	
Slide_87_40x	7/8/2020	87	87	3	Ripe 	3	Ripe 	
Slide_88_40x	7/8/2020	88	88	2	Developing Gametes	2	Developing Gametes	
Slide_89_40x	7/8/2020	89	89	2	Developing Gametes	2	Developing Gametes	
								confused when same clam has different stages... what to do? 14? 44? 47? 48?
								
								
								
								
								maybe don't have full gonad but we can look into how they reproduce to see what they release first
								
								different developmental stages in different areas of the tissue - double check and make a note - depending on analyis can test lower or higher 